3.800000 0.000000 0.000000
0.000000 3.800000 0.000000
0.000000 0.000000 3.800000
-2.000000 -0.500000 -0.500000
0.500000 0.500000 1.000000
1.000000 3.000000 0.000000
-1.000000 0.000000 0.000000 Co
-1.000000 0.500000 0.500000 Cr
-1.000000 1.000000 0.000000 Al
-0.500000 0.500000 0.000000 Ni
-0.500000 1.000000 0.500000 Co
-0.500000 3.000000 0.500000 Fe
0.000000 0.500000 0.500000 Fe
-0.500000 1.500000 0.000000 Ni
-0.500000 2.000000 0.500000 Al
0.000000 1.000000 0.000000 Co
0.000000 1.500000 0.500000 Ni
-1.500000 0.500000 0.000000 Cr
-0.500000 2.500000 0.000000 Co
0.000000 2.000000 0.000000 Ni
0.000000 2.500000 0.500000 Cr
-1.000000 1.500000 0.500000 Al
0.500000 2.000000 0.500000 Fe
0.500000 2.500000 0.000000 Cr
0.500000 3.000000 0.500000 Al
-1.000000 2.000000 0.000000 Fe
