Alloys,Class,Phase
Mg1Th1,0,Non-SP-SS
Be1Mg1,0,Non-SP-SS
Be1Th1,0,Non-SP-SS
Mg1Ni1,0,Non-SP-SS
Pd0.4U0.6,0,Non-SP-SS
Fe1U1,0,Non-SP-SS
Mg1Cu1,0,Non-SP-SS
Fe1Mg1,0,Non-SP-SS
Fe1Th1,0,Non-SP-SS
Cr1Mg1,0,Non-SP-SS
Rh1U1,0,Non-SP-SS
Mg1V1,0,Non-SP-SS
Os1U1,0,Non-SP-SS
Os1Th1,0,Non-SP-SS
Re1U1,0,Non-SP-SS
Mg1Zn1,0,Non-SP-SS
Mg54Cu26.5Ag8.5Gd11,0,Non-SP-SS
Mg1Nb1,0,Non-SP-SS
Ta1Th1,0,Non-SP-SS
Be0.4Co0.6,0,Non-SP-SS
Be1Fe1,0,Non-SP-SS
Be0.48Cu0.52,0,Non-SP-SS
Be1Cr1,0,Non-SP-SS
Be1Ru1,0,Non-SP-SS
As1Th1,0,Non-SP-SS
Hf1Th1,0,Non-SP-SS
Al0.5B1Co1Cr1Cu1Fe1Ni1,0,Non-SP-SS
Co1Cu0.097Fe1Ni1Ti0.097,0,Non-SP-SS
Co0.56Cr0.44,0,Non-SP-SS
Al0.5B0.6Co1Cr1Cu1Fe1Ni1,0,Non-SP-SS
Co1Cu1Fe1Ni1Sn0.04,0,Non-SP-SS
Cr0.56Ni0.44,0,Non-SP-SS
Co1Cu0.165Fe1Ni1Ti0.165,0,Non-SP-SS
Co1Cr2Fe1Ni1,0,Non-SP-SS
Co1Cr1Fe1Nb0.103Ni1,0,Non-SP-SS
Al1C1.5Co1Cr1Fe1Ni1,0,Non-SP-SS
Cr1Cu0.7Fe1Ni1,0,Non-SP-SS
Co1Cu1Fe1Ni1Sn0.07,0,Non-SP-SS
Co1Cr1Cu2Fe1Mn1Ni1,0,Non-SP-SS
Al1Cu0.2Li0.5Mg1Zn0.5,0,Non-SP-SS
Co1Cr1Fe1Nb0.155Ni1,0,Non-SP-SS
Cr1Cu1Fe0.5Mn0.5Ni1,0,Non-SP-SS
Cr2Cu2Fe2Mn1Ni2,0,Non-SP-SS
Co0.5Cr1Fe1Mn1.5Ni1,0,Non-SP-SS
Co1Cu0.25Fe1Ni1Ti0.25,0,Non-SP-SS
Al0.25Cr1Cu1Fe1Ni2,0,Non-SP-SS
Cr2Cu2Fe1Mn2Ni2,0,Non-SP-SS
Co1Cu1Fe1Ni1Sn0.1,0,Non-SP-SS
Cr1Cu1Fe1Mn1Ni1,0,Non-SP-SS
Al0.25Co1Cr1Cu0.75Fe1Ni1,0,Non-SP-SS
