Alloys,Class,alloy_sep,normalizer,k,vm,tm,vac,delta_s_mix,delta_chi,delta,delta_h_mix
Mg1Th1,0,"[('Mg', 1.0), ('Th', 1.0)]",2.0,48.5,16.9,1473.15,3.0,5.762823676963555,0.0050000000000000044,9.090909090909088,-7.3
Be1Mg1,0,"[('Be', 1.0), ('Mg', 1.0)]",2.0,87.0,9.5,1241.65,2.0,5.762823676963555,0.13,17.647058823529417,-4.4
Be1Th1,0,"[('Be', 1.0), ('Th', 1.0)]",2.0,90.5,12.4,1791.65,3.0,5.762823676963555,0.135,26.31578947368421,-53.6
Mg1Ni1,0,"[('Mg', 1.0), ('Ni', 1.0)]",2.0,112.0,10.3,1325.65,6.0,5.762823676963555,0.29999999999999993,5.263157894736842,-8.0
Pd0.4U0.6,0,"[('Pd', 0.4), ('U', 0.6)]",1.0,131.4,11.06,1576.0700000000002,7.6,5.595417017303138,0.2449489742783179,10.64995540340512,-85.92
Fe1U1,0,"[('Fe', 1.0), ('U', 1.0)]",2.0,134.0,9.8,1609.65,7.0,5.762823676963555,0.06500000000000006,11.111111111111116,-16.5
Mg1Cu1,0,"[('Mg', 1.0), ('Cu', 1.0)]",2.0,92.5,10.55,1140.46,6.5,5.762823676963555,0.29499999999999993,5.263157894736842,-6.7
Fe1Mg1,0,"[('Fe', 1.0), ('Mg', 1.0)]",2.0,107.0,10.55,1367.15,5.0,5.762823676963555,0.26,3.448275862068967,23.2
Fe1Th1,0,"[('Fe', 1.0), ('Th', 1.0)]",2.0,110.5,13.45,1917.15,6.0,5.762823676963555,0.265,12.5,-14.3
Cr1Mg1,0,"[('Cr', 1.0), ('Mg', 1.0)]",2.0,102.5,10.615,1551.65,4.0,5.762823676963555,0.17499999999999993,3.448275862068967,31.7
Rh1U1,0,"[('Rh', 1.0), ('U', 1.0)]",2.0,239.5,10.4,1822.15,7.5,5.762823676963555,0.2899999999999999,12.903225806451617,-67.6
Mg1V1,0,"[('Mg', 1.0), ('V', 1.0)]",2.0,102.0,11.175,1553.15,3.5,5.762823676963555,0.15999999999999992,5.263157894736842,30.2
Os1U1,0,"[('Os', 1.0), ('U', 1.0)]",2.0,236.0,10.465,2357.15,14.0,5.762823676963555,0.2500000000000001,14.754098360655737,-48.3
Os1Th1,0,"[('Os', 1.0), ('Th', 1.0)]",2.0,212.5,14.115,2664.65,13.0,5.762823676963555,0.45000000000000007,16.12903225806452,-57.4
Re1U1,0,"[('Re', 1.0), ('U', 1.0)]",2.0,234.5,10.675,2433.15,13.5,5.762823676963555,0.09999999999999998,12.903225806451617,-25.5
Mg1Zn1,0,"[('Mg', 1.0), ('Zn', 1.0)]",2.0,57.0,11.6,807.915,7.0,5.762823676963555,0.16999999999999993,5.263157894736842,-5.5
Mg54Cu26.5Ag8.5Gd11,0,"[('Mg', 54.0), ('Cu', 26.5), ('Ag', 8.5), ('Gd', 11.0)]",100.0,73.88499999999999,12.506,1137.7556000000002,6.029999999999999,9.453025198747426,0.29574008436463256,8.607623736283454,-12.24707
Mg1Nb1,0,"[('Mg', 1.0), ('Nb', 1.0)]",2.0,108.0,12.4,1836.65,3.5,5.762823676963555,0.14500000000000002,1.6949152542372836,43.3
Ta1Th1,0,"[('Ta', 1.0), ('Th', 1.0)]",2.0,126.5,15.350000000000001,2656.65,11.5,5.762823676963555,0.09999999999999998,10.76923076923077,26.0
Be0.4Co0.6,0,"[('Be', 0.4), ('Co', 0.6)]",1.0,159.0,6.02,1684.9500000000003,6.199999999999999,5.595417017303138,0.15186836405255696,11.948730452600874,-7.968
Be1Fe1,0,"[('Be', 1.0), ('Fe', 1.0)]",2.0,149.0,6.05,1685.65,5.0,5.762823676963555,0.13,14.285714285714285,-8.5
Be0.48Cu0.52,0,"[('Be', 0.48), ('Cu', 0.52)]",1.0,134.72,6.092,1454.9124000000002,6.680000000000001,5.75617070217411,0.16486794715771763,12.427856713230648,-2.496
Be1Cr1,0,"[('Be', 1.0), ('Cr', 1.0)]",2.0,144.5,6.115,1870.15,4.0,5.762823676963555,0.04499999999999993,14.285714285714285,-13.5
Be1Ru1,0,"[('Be', 1.0), ('Ru', 1.0)]",2.0,175.0,6.65,2083.15,5.0,5.762823676963555,0.31500000000000006,10.63829787234043,-7.3
As1Th1,0,"[('As', 1.0), ('Th', 1.0)]",2.0,36.5,16.45,1556.65,9.5,5.762823676963555,0.44000000000000006,22.033898305084747,-139.4
Hf1Th1,0,"[('Hf', 1.0), ('Th', 1.0)]",2.0,79.5,16.7,2264.65,11.0,5.762823676963555,0.0,7.462686567164178,9.5
Al0.5B1Co1Cr1Cu1Fe1Ni1,0,"[('Al', 0.5), ('B', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",6.5,182.46153846153848,6.819999999999999,1794.1930769230771,7.461538461538462,16.0054506424957,0.12913916167035885,14.650223324505065,-26.28639053254437
Co1Cu0.097Fe1Ni1Ti0.097,0,"[('Co', 1.0), ('Cu', 0.097), ('Fe', 1.0), ('Ni', 1.0), ('Ti', 0.097)]",3.194,172.55886036318097,6.924514715090796,1761.9409016906698,8.908891671884785,10.83297542211335,0.06581787055509201,1.7366576127817983,-4.9249172975785465
