Alloys,alloy_sep,no_elements,k,vm,tm,vac,delta,delta_chi,delta_s_mix,delta_h_mix,Class
Mg1Th1,"[('Mg', '1'), ('Th', '1')]",2,0.1272919139955151,0.17996857166487468,0.34787065261956973,0.0747663551401869,0.2727272727272727,0.006369426751592358,0.26994597989625646,0.42003179650238476,0
Be1Mg1,"[('Be', '1'), ('Mg', '1')]",2,0.2288616277535945,0.05756347696633861,0.2790909793155903,0.037383177570093455,0.5294117647058826,0.1656050955414013,0.26994597989625646,0.4292527821939587,0
Be1Th1,"[('Be', '1'), ('Th', '1')]",2,0.23809523809523808,0.10553304110495411,0.4424984104913513,0.0747663551401869,0.7894736842105264,0.17197452229299368,0.26994597989625646,0.27281399046104926,0
Mg1Ni1,"[('Mg', '1'), ('Ni', '1')]",2,0.2948159873367629,0.07079646017699116,0.3040477506224338,0.18691588785046725,0.15789473684210528,0.3821656050955413,0.26994597989625646,0.4178060413354531,0
Pd0.4U0.6,"[('Pd', '0.4'), ('U', '0.6')]",2,0.3459965703733016,0.08336779422711109,0.37844863955885943,0.24672897196261678,0.31949866210215366,0.31203690990868527,0.2608123431082369,0.17004769475357712,0
Fe1U1,"[('Fe', '1'), ('U', '1')]",2,0.3528558237699511,0.06252584567033333,0.3884254059931904,0.22429906542056072,0.33333333333333354,0.08280254777070065,0.26994597989625646,0.3907790143084261,0
Mg1Cu1,"[('Mg', '1'), ('Cu', '1')]",2,0.24337158686189156,0.07493176743032008,0.24902698302345344,0.20560747663551399,0.15789473684210528,0.3757961783439489,0.26994597989625646,0.42193958664546904,0
Fe1Mg1,"[('Fe', '1'), ('Mg', '1')]",2,0.28162511542012925,0.07493176743032008,0.31637758406569577,0.14953271028037382,0.10344827586206903,0.3312101910828026,0.26994597989625646,0.5170111287758347,0
Fe1Th1,"[('Fe', '1'), ('Th', '1')]",2,0.2908587257617728,0.12290133156893558,0.4797850152414568,0.18691588785046725,0.37500000000000006,0.33757961783439494,0.26994597989625646,0.3977742448330684,0
Cr1Mg1,"[('Cr', '1'), ('Mg', '1')]",2,0.2697533306951589,0.07600694731618561,0.3711933496146556,0.11214953271028036,0.10344827586206903,0.22292993630573238,0.26994597989625646,0.5440381558028617,0
Rh1U1,"[('Rh', '1'), ('U', '1')]",2,0.631183221210922,0.07245058307832274,0.4515600953110981,0.24299065420560745,0.38709677419354854,0.36942675159235666,0.26994597989625646,0.22829888712241656,0
Mg1V1,"[('Mg', '1'), ('V', '1')]",2,0.26843424350349554,0.08527003556364239,0.37163900624513496,0.09345794392523363,0.15789473684210528,0.2038216560509553,0.26994597989625646,0.5392686804451511,0
Os1U1,"[('Os', '1'), ('U', '1')]",2,0.6219496108692785,0.07352576296418824,0.6105109601820656,0.4859813084112149,0.4426229508196721,0.31847133757961804,0.26994597989625646,0.2896661367249603,0
Os1Th1,"[('Os', '1'), ('Th', '1')]",2,0.5599525128611001,0.13390124886279053,0.701870569430332,0.44859813084112143,0.48387096774193566,0.5732484076433122,0.26994597989625646,0.26073131955484896,0
Re1U1,"[('Re', '1'), ('U', '1')]",2,0.6179923492942884,0.07699942105698455,0.6330908961263526,0.46728971962616817,0.38709677419354854,0.12738853503184702,0.26994597989625646,0.3621621621621622,0
Mg1Zn1,"[('Mg', '1'), ('Zn', '1')]",2,0.14971639625379238,0.09230005789430155,0.1502263935682835,0.22429906542056072,0.15789473684210528,0.21656050955414002,0.26994597989625646,0.42575516693163756,0
Mg54Cu26.5Ag8.5Gd11,"[('Mg', '54'), ('Cu', '26.5'), ('Ag', '8.5'), ('Gd', '11')]",4,0.1942619707162643,0.10728641138036558,0.24822349382914127,0.18803738317757004,0.2582287120885037,0.3767389609740542,0.4712818194795871,0.4043018441971383,0
Mg1Nb1,"[('Mg', '1'), ('Nb', '1')]",2,0.28426328980345594,0.10553304110495411,0.45586810940573175,0.09345794392523363,0.050847457627118516,0.18471337579617836,0.26994597989625646,0.5809220985691574,0
